"Date","Price","Open","High","Low","Change %"
"Oct 27, 2018","133.500","133.500","133.500","133.500","0.00%"
"Oct 26, 2018","133.500","133.400","134.260","131.460","0.04%"
"Oct 25, 2018","133.450","133.800","134.190","131.510","1.94%"
"Oct 24, 2018","130.910","133.510","133.710","130.770","-1.88%"
"Oct 23, 2018","133.420","134.680","134.780","133.010","-0.06%"
"Oct 22, 2018","133.500","134.410","134.660","132.490","0.77%"
"Oct 20, 2018","132.475","132.475","132.475","132.475","0.00%"
"Oct 19, 2018","132.475","134.335","134.385","132.465","-0.72%"
"Oct 18, 2018","133.440","134.530","134.530","132.390","0.24%"
"Oct 17, 2018","133.115","134.485","134.535","128.205","1.33%"
"Oct 16, 2018","131.370","134.130","134.580","131.290","-1.14%"
"Oct 15, 2018","132.880","132.660","133.810","129.470","-0.09%"
"Oct 13, 2018","133.000","133.000","133.000","133.000","0.00%"
"Oct 12, 2018","133.000","131.810","133.000","130.800","1.44%"
"Oct 11, 2018","131.115","132.605","134.565","127.915","-1.60%"
"Oct 10, 2018","133.250","133.560","134.510","132.050","-0.09%"
"Oct 09, 2018","133.375","124.915","133.815","124.335","8.29%"
"Oct 08, 2018","123.170","123.170","123.170","123.170","-0.47%"
"Oct 06, 2018","123.750","123.750","123.750","123.750","0.00%"
"Oct 05, 2018","123.745","123.295","123.925","123.015","-0.00%"
"Oct 04, 2018","123.750","123.460","124.960","123.140","0.00%"
"Oct 03, 2018","123.750","123.390","124.910","123.230","0.12%"
"Oct 02, 2018","123.600","123.560","123.600","123.560","0.16%"
"Oct 01, 2018","123.400","123.160","124.940","123.160","-0.15%"
"Sep 29, 2018","123.585","123.585","123.585","123.585","0.00%"
"Sep 28, 2018","123.585","124.465","124.465","123.045","-0.13%"
"Sep 27, 2018","123.750","123.190","123.810","122.950","0.00%"
"Sep 26, 2018","123.750","123.190","123.810","122.950","0.45%"
"Sep 25, 2018","123.195","125.025","125.025","123.175","-0.03%"
"Sep 24, 2018","123.235","123.155","124.815","123.035","0.07%"
"Sep 22, 2018","123.145","123.145","123.145","123.145","0.00%"
"Sep 21, 2018","123.145","123.605","124.405","123.145","-0.48%"
"Sep 20, 2018","123.735","123.415","124.375","122.995","-0.02%"
"Sep 19, 2018","123.760","123.490","124.490","123.080","0.02%"
"Sep 18, 2018","123.740","123.590","124.060","123.060","-0.12%"
"Sep 17, 2018","123.890","123.780","124.510","122.190","0.04%"
"Sep 15, 2018","123.845","123.845","123.845","123.845","0.00%"
"Sep 14, 2018","123.845","122.955","124.315","122.955","0.62%"
"Sep 13, 2018","123.085","123.915","124.445","122.325","-0.73%"
"Sep 12, 2018","123.995","122.705","124.165","121.795","1.26%"
"Sep 11, 2018","122.450","123.080","123.130","122.190","-0.45%"
"Sep 10, 2018","123.005","123.895","123.895","122.335","-0.37%"
"Sep 08, 2018","123.460","123.460","123.460","123.460","0.00%"
"Sep 07, 2018","123.460","123.020","124.900","123.020","0.29%"
"Sep 06, 2018","123.105","122.265","123.195","121.765","-0.01%"
"Sep 05, 2018","123.120","123.350","123.350","122.280","-0.32%"
"Sep 04, 2018","123.510","124.880","124.880","122.160","0.32%"
"Sep 03, 2018","123.110","123.070","123.110","123.070","0.10%"
"Sep 01, 2018","122.985","122.985","122.985","122.985","0.00%"
"Aug 31, 2018","122.985","122.985","123.225","122.985","-0.05%"
"Aug 30, 2018","123.050","123.010","123.240","123.000","0.02%"
"Aug 29, 2018","123.020","125.070","125.070","122.350","-0.03%"
"Aug 28, 2018","123.060","124.590","124.590","122.270","-0.01%"
"Aug 27, 2018","123.070","122.860","123.190","122.860","0.55%"
"Aug 25, 2018","122.400","122.400","122.400","122.400","0.00%"
